gene1,gene2,weight
A4GALT,B4GALT7,0.422
A4GALT,C1GALT1,0.421
A4GALT,CHPF,0.513
A4GALT,FUT1,0.422
A4GALT,GABBR2,0.718
A4GALT,GBGT1,0.511
A4GALT,GCNT2,0.41
A4GALT,GCNT4,0.491
A4GALT,GLA,0.949
A4GALT,GLB1,0.824
A4GALT,GMDS,0.406
A4GALT,HEXA,0.913
A4GALT,HEXB,0.902
A4GALT,ICK,0.42
A4GALT,IGBP1,0.443
A4GALT,ITGA2B,0.56
A4GALT,ITGB3,0.447
A4GALT,LAPTM4A,0.467
A4GALT,LFNG,0.401
A4GALT,NAA50,0.408
A4GALT,PAPOLG,0.505
A4GALT,SPTSSA,0.41
A4GALT,ST3GAL2,0.542
A4GALT,ST3GAL5,0.507
A4GALT,ST8SIA2,0.609
A4GALT,STX1A,0.503
A4GALT,STX1B,0.492
A4GALT,STX2,0.606
A4GALT,TM9SF2,0.496
A4GALT,UGCG,0.708
A4GNT,B3GNT3,0.471
A4GNT,C1GALT1,0.577
A4GNT,CSGALNACT2,0.412
A4GNT,EXTL3,0.453
A4GNT,FANK1,0.452
A4GNT,GCNT1,0.506
A4GNT,GCNT3,0.533
A4GNT,GCNT4,0.725
A4GNT,GKN1,0.55
A4GNT,MUC1,0.569
A4GNT,MUC12,0.41
A4GNT,MUC13,0.454
A4GNT,MUC15,0.4
A4GNT,MUC16,0.431
A4GNT,MUC17,0.432
A4GNT,MUC19,0.436
A4GNT,MUC2,0.535
A4GNT,MUC20,0.606
A4GNT,MUC21,0.413
A4GNT,MUC3A,0.411
A4GNT,MUC4,0.45
A4GNT,MUC5AC,0.659
A4GNT,MUC5B,0.499
A4GNT,MUC6,0.843
A4GNT,MUC7,0.426
A4GNT,MUCL1,0.4
A4GNT,RNF167,0.429
AAAS,AGO2,0.403
AAAS,AHCTF1,0.869
AAAS,ALYREF,0.575
AAAS,APTX,0.462
AAAS,AURKB,0.515
AAAS,BCS1L,0.409
AAAS,BIRC5,0.445
AAAS,CASC3,0.504
AAAS,CCNB1,0.428
AAAS,CCNB2,0.428
AAAS,CDC40,0.416
AAAS,CDCA8,0.454
AAAS,CDK1,0.43
AAAS,CHTOP,0.453
AAAS,CIT,0.563
AAAS,COPS7A,0.462
AAAS,COPS7B,0.495
AAAS,CPSF1,0.467
AAAS,CPSF2,0.414
AAAS,CPSF3,0.538
AAAS,CPSF4,0.416
AAAS,DCPS,0.456
AAAS,DDX20,0.414
AAAS,DHX38,0.42
AAAS,DIAPH1,0.405
AAAS,DIAPH3,0.4
AAAS,EIF4A3,0.535
AAAS,EIF4E,0.413
AAAS,ERAL1,0.521
AAAS,FIP1L1,0.435
AAAS,FMNL3,0.4
AAAS,FTH1,0.57
AAAS,FYTTD1,0.415
AAAS,GCK,0.401
AAAS,GCKR,0.4
AAAS,GEMIN2,0.414
AAAS,GEMIN4,0.42
AAAS,GEMIN5,0.445
AAAS,GEMIN6,0.413
AAAS,GEMIN7,0.421
AAAS,GEMIN8,0.431
AAAS,GLE1,0.844
AAAS,HDAC4,0.4
AAAS,HIKESHI,0.442
AAAS,HNRNPC,0.476
AAAS,HSPA12A,0.4
AAAS,HSPA12B,0.4
AAAS,HSPA13,0.403
AAAS,HSPA14,0.416
