gene1,gene2,weight
CD74,ATP5F1C,839
CD74,MRPL3,836
CD74,HABP4,716
CD74,WDR46,775
CD74,POLR2F,850
CD74,SERBP1,832
CD74,CXCR2,994
CD74,KRR1,844
CD74,MRRF,894
CD74,RPL12,977
CD74,CTSB,954
CD74,EFTUD2,806
CD74,SNU13,872
CD74,RPLP2,935
CD74,POLR3B,778
CD74,RPS15A,853
CD74,RCL1,781
CD74,PPP1R26,773
CD74,RRP7A,778
CD74,CCL5,713
CD74,IFI35,940
CD74,MRPS5,888
CD74,RPS9,982
CD74,HMGN4,817
CD74,ATP5F1A,865
CD74,MRPS35,827
CD74,ARL6IP1,853
CD74,RPL38,981
CD74,EIF1,838
CD74,RPL39,931
CD74,RPL13A,943
CD74,RPL10L,930
CD74,RPL17-C18orf32,935
CD74,EPRS1,845
CD74,APP,985
CD74,MRPL1,834
CD74,RPS23,979
CD74,UTP3,785
CD74,RSRC1,927
CD74,MRPL20,959
CD74,RPL36A-HNRNPH2,837
CD74,RRP9,790
CD74,DAP3,793
CD74,HLA-DMB,982
CD74,NPSR1,852
CD74,MRPL41,817
CD74,FAU,997
CD74,PDCD11,967
CD74,BMS1,834
CD74,RPL36A,839
CD74,RPL22,905
CD74,MRPL40,792
CD74,RPL29,979
CD74,EIF3K,717
CD74,RPL27,979
CD74,GCN1,787
CD74,POLR1B,780
CD74,TPT1,851
CD74,RPLP0,983
CD74,DNTTIP2,781
CD74,RPL32,979
CD74,MRPL22,836
CD74,HDDC3,769
CD74,EFL1,806
CD74,EIF1AY,942
CD74,TBL3,781
CD74,MTIF2,842
CD74,WDR36,778
CD74,RPS27A,974
CD74,UTP20,792
CD74,HLA-DOB,975
CD74,MRPL16,776
CD74,EIF5A,766
CD74,RPS3A,980
CD74,HLA-DRB5,986
CD74,SMKR1,773
CD74,CTSL,993
CD74,RPS13,980
CD74,CUL7,879
CD74,MRPL24,836
CD74,UTP11,766
CD74,HLA-E,764
CD74,MRPS2,773
CD74,RPS3,983
CD74,B2M,808
CD74,RPL3L,934
CD74,HLA-DPA1,993
CD74,POLR3A,808
CD74,EARS2,705
CD74,RPS4Y1,864
CD74,H3BN98_HUMAN,853
CD74,RIOK2,768
CD74,EIF3C,717
CD74,HLA-B,800
CD74,HLA-C,815
CD74,MRNIP,909
CD74,RPS11,981
CD74,COPG1,719
CD74,COPG2,838
CD74,HSPBP1,774
CD74,MRPL34,772
CD74,AK6,801
CD74,RPL28,977
CD74,RPS27,937
CD74,DOCK4,909
CD74,EIF2S2,800
CD74,EIF5B,908
CD74,LTV1,795
CD74,MPHOSPH10,829
CD74,MRPL9,968
CD74,RPL3,937
CD74,WDR43,799
CD74,CIITA,833
CD74,NOL6,792
CD74,RPL31,978
CD74,FLT3LG,947
CD74,RPL37,975
CD74,MRPL27,951
CD74,NOL10,781
CD74,ABCE1,761
CD74,RPL35A,975
CD74,MRPS10,888
CD74,MRPL58,816
CD74,MRPL19,969
CD74,RPS26,980
CD74,HLA-A,807
CD74,MRPL43,772
CD74,RPL18A,973
CD74,FCF1,789
CD74,EIF1AX,934
CD74,GFM1,806
CD74,NOP14,785
CD74,EMG1,788
CD74,EEF2,945
CD74,EIF5AL1,765
CD74,TSFM,730
CD74,UTP18,796
CD74,HLA-DRA,999
CD74,EIF3D,701
CD74,AATF,834
CD74,WDR3,824
CD74,HMGN2,817
CD74,IMP4,771
CD74,RPL21,979
CD74,NAT10,794
CD74,RPL39L,931
CD74,RPL14,981
CD74,EIF2S1,868
CD74,MRPL46,821
CD74,MRPL47,767
CD74,SEC61A2,853
CD74,MRPS14,835
CD74,DDT,965
CD74,RPL36AL,838
CD74,FANCE,931
CD74,MRPS7,845
CD74,MRPS15,827
